Mode,Week Number,Year,Count
Aircraft Operations,45,2019,"1,210"
Aircraft Operations,46,2019,"1,210"
Aircraft Operations,47,2019,"1,220"
Aircraft Operations,48,2019,"1,140"
Aircraft Operations,49,2019,"1,210"
Aircraft Operations,50,2019,"1,200"
Aircraft Operations,51,2019,"1,230"
Aircraft Operations,52,2019,"1,210"
Aircraft Operations,1,2020,"1,200"
Aircraft Operations,2,2020,"1,160"
Aircraft Operations,3,2020,"1,110"
Aircraft Operations,4,2020,"1,130"
Aircraft Operations,5,2020,"1,150"
Aircraft Operations,6,2020,"1,140"
Aircraft Operations,7,2020,"1,160"
Aircraft Operations,8,2020,"1,170"
Aircraft Operations,9,2020,"1,170"
Aircraft Operations,10,2020,"1,170"
Aircraft Operations,11,2020,"1,160"
Aircraft Operations,12,2020,"1,070"
Aircraft Operations,13,2020,760
Aircraft Operations,14,2020,540
Aircraft Operations,15,2020,420
Aircraft Operations,16,2020,390
Aircraft Operations,17,2020,380
Aircraft Operations,18,2020,370
Aircraft Operations,19,2020,380
Aircraft Operations,20,2020,390
Aircraft Operations,21,2020,420
Aircraft Operations,22,2020,440
Aircraft Operations,23,2020,500
Aircraft Operations,24,2020,580
Aircraft Operations,25,2020,630
Aircraft Operations,26,2020,650
Aircraft Operations,27,2020,670
Aircraft Operations,28,2020,730
Aircraft Operations,29,2020,760
Aircraft Operations,30,2020,770
Aircraft Operations,31,2020,790
Aircraft Operations,32,2020,900
Aircraft Operations,33,2020,890
Aircraft Operations,34,2020,870
Aircraft Operations,35,2020,870
Aircraft Operations,36,2020,870
Aircraft Operations,37,2020,820
Aircraft Operations,38,2020,800
Aircraft Operations,39,2020,840
Aircraft Operations,40,2020,850
Aircraft Operations,41,2020,840
Aircraft Operations,42,2020,870
Aircraft Operations,43,2020,860
Aircraft Operations,44,2020,830
Aircraft Operations,45,2020,830
Aircraft Operations,46,2020,850
Aircraft Operations,47,2020,870
Aircraft Operations,48,2020,840
Aircraft Operations,49,2020,860
Aircraft Operations,50,2020,820
Aircraft Operations,51,2020,850
Aircraft Operations,52,2020,840
Aircraft Operations,1,2021,840
Aircraft Operations,2,2021,810
Aircraft Operations,3,2021,780
Aircraft Operations,4,2021,770
Aircraft Operations,5,2021,770
Aircraft Operations,6,2021,800
Aircraft Operations,7,2021,740
Aircraft Operations,8,2021,820
Aircraft Operations,9,2021,900
Aircraft Operations,10,2021,900
Aircraft Operations,11,2021,920
Aircraft Operations,12,2021,920
Aircraft Operations,13,2021,930
Aircraft Operations,14,2021,950
Aircraft Operations,15,2021,960
Aircraft Operations,16,2021,980
Aircraft Operations,17,2021,980
Aircraft Operations,18,2021,990
Aircraft Operations,19,2021,"1,000"
Aircraft Operations,20,2021,"1,020"
Aircraft Operations,21,2021,"1,050"
Aircraft Operations,22,2021,"1,070"
Aircraft Operations,23,2021,"1,090"
Aircraft Operations,24,2021,"1,160"
Aircraft Operations,25,2021,"1,180"
Aircraft Operations,26,2021,"1,190"
Aircraft Operations,27,2021,"1,180"
Aircraft Operations,28,2021,"1,180"
Aircraft Operations,29,2021,"1,190"
Aircraft Operations,30,2021,"1,190"
Aircraft Operations,31,2021,"1,190"
Aircraft Operations,32,2021,"1,190"
Aircraft Operations,33,2021,"1,200"
Aircraft Operations,34,2021,"1,200"
Aircraft Operations,35,2021,"1,200"
Aircraft Operations,36,2021,"1,200"
Aircraft Operations,37,2021,"1,150"
Aircraft Operations,38,2021,"1,150"
Aircraft Operations,39,2021,"1,150"
Aircraft Operations,40,2021,"1,140"
Aircraft Operations,41,2021,"1,110"
Aircraft Operations,42,2021,"1,080"
Aircraft Operations,43,2021,"1,080"
Aircraft Operations,44,2021,"1,090"
Aircraft Operations,45,2021,"1,050"
Aircraft Operations,46,2021,"1,040"
Aircraft Operations,47,2021,"1,050"
Aircraft Operations,48,2021,980
Aircraft Operations,49,2021,"1,020"
Aircraft Operations,50,2021,970
Aircraft Operations,51,2021,980
